JOB_NUMBER,ITEM,OVERALL_LABEL_WIDTH,OVERALL_LABEL_LENGTH,SKU_SEQ,SKU_QUANTITY,RB,Color_Group,Group_SKU,Group_NATO,Fix_Orientation,Dimension_Group,Re_Qty,HEADER_VARIABLE_DATA|SKU_VALUE
ATO-52576864,AT645530,28,36,3,708,Baleno,CG_29,1,1,1,DG_095,718,|130/64
ATO-52576864,AT645530,28,36,4,687,Baleno,CG_29,1,1,1,DG_095,697,|140/68
ATO-52576864,AT645530,28,36,5,580,Baleno,CG_29,1,1,1,DG_095,590,|150/72
ATO-52576864,AT645530,28,36,6,391,Baleno,CG_29,1,1,1,DG_095,401,|160/76
ATO-52576865,AT645530,28,36,1,213,Baleno,CG_29,1,1,1,DG_095,223,|110/56
ATO-52576865,AT645530,28,36,2,440,Baleno,CG_29,1,1,1,DG_095,450,|120/60
ATO-52576865,AT645530,28,36,3,548,Baleno,CG_29,1,1,1,DG_095,558,|130/64
ATO-52576865,AT645530,28,36,4,534,Baleno,CG_29,1,1,1,DG_095,544,|140/68
ATO-52576865,AT645530,28,36,5,450,Baleno,CG_29,1,1,1,DG_095,460,|150/72
ATO-52576865,AT645530,28,36,6,298,Baleno,CG_29,1,1,1,DG_095,308,|160/76
ATO-52624431,ATV687720,29,46,1,1136,LIDL,CG_30,1,1,1,DG_098,1146,|S 36/38
ATO-52624432,ATV687720,29,46,1,1703,LIDL,CG_30,1,1,1,DG_098,1713,|M 40/42
ATO-52624433,ATV687720,29,46,1,1136,LIDL,CG_30,1,1,1,DG_098,1146,|L 44/46
ATO-52624435,ATV687720,29,46,1,50,LIDL,CG_30,1,1,1,DG_098,60,|S 36/38
ATO-52624435,ATV687720,29,46,2,30,LIDL,CG_30,1,1,1,DG_098,40,|M 40/42
ATO-52624435,ATV687720,29,46,3,30,LIDL,CG_30,1,1,1,DG_098,40,|L 44/46
ATO-52653038,ATV674675,39,45,1,100,SALOMON,CG_30,1,1,1,DG_099,110,|S
ATO-52653038,ATV674675,39,45,2,220,SALOMON,CG_30,1,1,1,DG_099,230,|M
ATO-52653038,ATV674675,39,45,3,220,SALOMON,CG_30,1,1,1,DG_099,230,|L
ATO-52653038,ATV674675,39,45,4,110,SALOMON,CG_30,1,1,1,DG_099,120,|XL
ATO-52569583,ATV353392A,97,39,1,600,GEORGE,CG_35,1,1,0,DG_105,610,CANGEN|S19/S24/S20/S12|PAX4064|51122|AD23/002|XS|AWF33755LD||471103455691
ATO-52569583,ATV353392A,97,39,2,600,GEORGE,CG_35,1,1,0,DG_105,610,CANGEN|S19/S24/S20/S12|PAX4064|51122|AD23/002|S|AWF33755LD||471103455692
ATO-52569583,ATV353392A,97,39,3,1190,GEORGE,CG_35,1,1,0,DG_105,1200,CANGEN|S19/S24/S20/S12|PAX4064|51122|AD23/002|M|AWF33755LD||471103455693
ATO-52569583,ATV353392A,97,39,4,1790,GEORGE,CG_35,1,1,0,DG_105,1800,CANGEN|S19/S24/S20/S12|PAX4064|51122|AD23/002|L|AWF33755LD||471103455694
ATO-52569583,ATV353392A,97,39,5,1190,GEORGE,CG_35,1,1,0,DG_105,1200,CANGEN|S19/S24/S20/S12|PAX4064|51122|AD23/002|XL|AWF33755LD||471103455695
ATO-52569583,ATV353392A,97,39,6,600,GEORGE,CG_35,1,1,0,DG_105,610,CANGEN|S19/S24/S20/S12|PAX4064|51122|AD23/002|XXL|AWF33755LD||471103455696
ATO-52569583,ATV353392A,97,39,7,680,GEORGE,CG_35,1,1,0,DG_105,690,CANGEN|S19/S24/S20/S12|PAX4064|51122|AD23/002|XS|AWF33755LD||471103455697
ATO-52569583,ATV353392A,97,39,8,680,GEORGE,CG_35,1,1,0,DG_105,690,CANGEN|S19/S24/S20/S12|PAX4064|51122|AD23/002|S|AWF33755LD||471103455698
ATO-52569583,ATV353392A,97,39,9,1360,GEORGE,CG_35,1,1,0,DG_105,1370,CANGEN|S19/S24/S20/S12|PAX4064|51122|AD23/002|M|AWF33755LD||471103455699
ATO-52569583,ATV353392A,97,39,10,2040,GEORGE,CG_35,1,1,0,DG_105,2050,CANGEN|S19/S24/S20/S12|PAX4064|51122|AD23/002|L|AWF33755LD||471103455700
ATO-52569583,ATV353392A,97,39,11,1360,GEORGE,CG_35,1,1,0,DG_105,1370,CANGEN|S19/S24/S20/S12|PAX4064|51122|AD23/002|XL|AWF33755LD||471103455701
ATO-52569583,ATV353392A,97,39,12,680,GEORGE,CG_35,1,1,0,DG_105,690,CANGEN|S19/S24/S20/S12|PAX4064|51122|AD23/002|XXL|AWF33755LD||471103455702
ATO-52569582,ATV353392A,97,39,1,160,GEORGE,CG_35,1,1,0,DG_105,170,CANGEN|S19/S24/S20/S12|PAX4064|51122|AD23/002|XS|AWF33755LD||471103455691
ATO-52569582,ATV353392A,97,39,2,160,GEORGE,CG_35,1,1,0,DG_105,170,CANGEN|S19/S24/S20/S12|PAX4064|51122|AD23/002|S|AWF33755LD||471103455692
ATO-52569582,ATV353392A,97,39,3,220,GEORGE,CG_35,1,1,0,DG_105,230,CANGEN|S19/S24/S20/S12|PAX4064|51122|AD23/002|M|AWF33755LD||471103455693
ATO-52569582,ATV353392A,97,39,4,220,GEORGE,CG_35,1,1,0,DG_105,230,CANGEN|S19/S24/S20/S12|PAX4064|51122|AD23/002|L|AWF33755LD||471103455694
ATO-52569582,ATV353392A,97,39,5,160,GEORGE,CG_35,1,1,0,DG_105,170,CANGEN|S19/S24/S20/S12|PAX4064|51122|AD23/002|XL|AWF33755LD||471103455695
ATO-52569582,ATV353392A,97,39,6,160,GEORGE,CG_35,1,1,0,DG_105,170,CANGEN|S19/S24/S20/S12|PAX4064|51122|AD23/002|XS|AWF33755LD||471103455697
ATO-52569582,ATV353392A,97,39,7,160,GEORGE,CG_35,1,1,0,DG_105,170,CANGEN|S19/S24/S20/S12|PAX4064|51122|AD23/002|S|AWF33755LD||471103455698
ATO-52569582,ATV353392A,97,39,8,220,GEORGE,CG_35,1,1,0,DG_105,230,CANGEN|S19/S24/S20/S12|PAX4064|51122|AD23/002|M|AWF33755LD||471103455699
ATO-52569582,ATV353392A,97,39,9,220,GEORGE,CG_35,1,1,0,DG_105,230,CANGEN|S19/S24/S20/S12|PAX4064|51122|AD23/002|L|AWF33755LD||471103455700
ATO-52569582,ATV353392A,97,39,10,160,GEORGE,CG_35,1,1,0,DG_105,170,CANGEN|S19/S24/S20/S12|PAX4064|51122|AD23/002|XL|AWF33755LD||471103455701
