JOB_NUMBER,ITEM,OVERALL_LABEL_WIDTH,OVERALL_LABEL_LENGTH,HEADER_VARIABLE_DATA|SKU_VALUE,SKU_SEQ,SKU_QUANTITY,Re_Qty,RB,Color_Group,Dimension_Group,Group_NATO,Fix_Orientation,Group_SKU,wds
ATO-52145145,ATV670457,20,30,|4|0005190-01|23|03|LW7CSXS,3,400,410,LULUEMON_ATHLETICA,CG1,DG1,0,0,0,1
ATO-52145145,ATV670457,20,30,|6|0005190-01|23|03|LW7CSXS,4,450,460,LULUEMON_ATHLETICA,CG1,DG1,0,0,0,1
ATO-52145145,ATV670457,20,30,|8|0005190-01|23|03|LW7CSXS,5,250,260,LULUEMON_ATHLETICA,CG1,DG1,0,0,0,1
ATO-52145145,ATV670457,20,30,|10|0005190-01|23|03|LW7CSXS,6,100,110,LULUEMON_ATHLETICA,CG1,DG1,0,0,0,1
ATO-52145145,ATV670457,20,30,|12|0005190-01|23|03|LW7CSXS,7,100,110,LULUEMON_ATHLETICA,CG1,DG1,0,0,0,1
ATO-52145145,ATV670457,20,30,|14|0005190-01|23|03|LW7CSXS,8,100,110,LULUEMON_ATHLETICA,CG1,DG1,0,0,0,1
ATO-52145136,ATV670457,20,30,|XS/S|0005190-01|23|03|LW3DUSS,1,600,610,LULUEMON_ATHLETICA,CG1,DG1,0,0,0,1
ATO-52145136,ATV670457,20,30,|M/L|0005190-01|23|03|LW3DUSS,2,500,510,LULUEMON_ATHLETICA,CG1,DG1,0,0,0,1
ATO-52145136,ATV670457,20,30,|XL/XXL|0005190-01|23|03|LW3DUSS,3,150,160,LULUEMON_ATHLETICA,CG1,DG1,0,0,0,1
ATO-52145134,ATV670457,20,30,|0|0005190-01|23|03|LW5EGWS,1,100,110,LULUEMON_ATHLETICA,CG1,DG1,0,0,0,1
ATO-52145134,ATV670457,20,30,|2|0005190-01|23|03|LW5EGWS,2,200,210,LULUEMON_ATHLETICA,CG1,DG1,0,0,0,1
ATO-52145134,ATV670457,20,30,|4|0005190-01|23|03|LW5EGWS,3,500,510,LULUEMON_ATHLETICA,CG1,DG1,0,0,0,1
ATO-52145134,ATV670457,20,30,|6|0005190-01|23|03|LW5EGWS,4,425,435,LULUEMON_ATHLETICA,CG1,DG1,0,0,0,1
ATO-52145134,ATV670457,20,30,|8|0005190-01|23|03|LW5EGWS,5,225,235,LULUEMON_ATHLETICA,CG1,DG1,0,0,0,1
ATO-52145134,ATV670457,20,30,|10|0005190-01|23|03|LW5EGWS,6,175,185,LULUEMON_ATHLETICA,CG1,DG1,0,0,0,1
ATO-52145134,ATV670457,20,30,|12|0005190-01|23|03|LW5EGWS,7,125,135,LULUEMON_ATHLETICA,CG1,DG1,0,0,0,1
ATO-52145134,ATV670457,20,30,|14|0005190-01|23|03|LW5EGWS,8,100,110,LULUEMON_ATHLETICA,CG1,DG1,0,0,0,1
ATO-52141329,ATV670457,20,30,|XS|0005190-04|23|03|LM5APMS,1,175,185,LULUEMON_ATHLETICA,CG1,DG1,0,0,0,1
ATO-52141329,ATV670457,20,30,|S|0005190-04|23|03|LM5APMS,2,275,285,LULUEMON_ATHLETICA,CG1,DG1,0,0,0,1
ATO-52141329,ATV670457,20,30,|M|0005190-04|23|03|LM5APMS,3,550,560,LULUEMON_ATHLETICA,CG1,DG1,0,0,0,1
ATO-52141329,ATV670457,20,30,|L|0005190-04|23|03|LM5APMS,4,475,485,LULUEMON_ATHLETICA,CG1,DG1,0,0,0,1
ATO-52141329,ATV670457,20,30,|XL|0005190-04|23|03|LM5APMS,5,250,260,LULUEMON_ATHLETICA,CG1,DG1,0,0,0,1
ATO-52141329,ATV670457,20,30,|XXL|0005190-04|23|03|LM5APMS,6,100,110,LULUEMON_ATHLETICA,CG1,DG1,0,0,0,1
ATO-52141324,ATV670457,20,30,|24|0005190-04|23|03|LW5FYTA,1,100,110,LULUEMON_ATHLETICA,CG1,DG1,0,0,0,1
ATO-52141324,ATV670457,20,30,|25|0005190-04|23|03|LW5FYTA,2,150,160,LULUEMON_ATHLETICA,CG1,DG1,0,0,0,1
ATO-52141324,ATV670457,20,30,|26|0005190-04|23|03|LW5FYTA,3,700,710,LULUEMON_ATHLETICA,CG1,DG1,0,0,0,1
ATO-52141324,ATV670457,20,30,|27|0005190-04|23|03|LW5FYTA,4,650,660,LULUEMON_ATHLETICA,CG1,DG1,0,0,0,1
ATO-52141324,ATV670457,20,30,|28|0005190-04|23|03|LW5FYTA,5,425,435,LULUEMON_ATHLETICA,CG1,DG1,0,0,0,1
ATO-52141324,ATV670457,20,30,|29|0005190-04|23|03|LW5FYTA,6,300,310,LULUEMON_ATHLETICA,CG1,DG1,0,0,0,1
ATO-52141324,ATV670457,20,30,|30|0005190-04|23|03|LW5FYTA,7,175,185,LULUEMON_ATHLETICA,CG1,DG1,0,0,0,1
ATO-52141324,ATV670457,20,30,|31|0005190-04|23|03|LW5FYTA,8,100,110,LULUEMON_ATHLETICA,CG1,DG1,0,0,0,1
ATO-52141830,ATV670457,20,30,|XS|0005190-04|23|03|LM5AMZS,1,100,110,LULUEMON_ATHLETICA,CG1,DG1,0,0,0,1
ATO-52141830,ATV670457,20,30,|S|0005190-04|23|03|LM5AMZS,2,475,485,LULUEMON_ATHLETICA,CG1,DG1,0,0,0,1
ATO-52141830,ATV670457,20,30,|M|0005190-04|23|03|LM5AMZS,3,1000,1010,LULUEMON_ATHLETICA,CG1,DG1,0,0,0,1
ATO-52141830,ATV670457,20,30,|L|0005190-04|23|03|LM5AMZS,4,1050,1060,LULUEMON_ATHLETICA,CG1,DG1,0,0,0,1
ATO-52141830,ATV670457,20,30,|XL|0005190-04|23|03|LM5AMZS,5,525,535,LULUEMON_ATHLETICA,CG1,DG1,0,0,0,1
ATO-52141830,ATV670457,20,30,|XXL|0005190-04|23|03|LM5AMZS,6,200,210,LULUEMON_ATHLETICA,CG1,DG1,0,0,0,1
ATO-52141828,ATV670457,20,30,|XS|0005190-04|23|03|LM5AM9S,1,100,110,LULUEMON_ATHLETICA,CG1,DG1,0,0,0,1
ATO-52141828,ATV670457,20,30,|S|0005190-04|23|03|LM5AM9S,2,325,335,LULUEMON_ATHLETICA,CG1,DG1,0,0,0,1
ATO-52141828,ATV670457,20,30,|M|0005190-04|23|03|LM5AM9S,3,775,785,LULUEMON_ATHLETICA,CG1,DG1,0,0,0,1
ATO-52141828,ATV670457,20,30,|L|0005190-04|23|03|LM5AM9S,4,750,760,LULUEMON_ATHLETICA,CG1,DG1,0,0,0,1
ATO-52141828,ATV670457,20,30,|XL|0005190-04|23|03|LM5AM9S,5,300,310,LULUEMON_ATHLETICA,CG1,DG1,0,0,0,1
ATO-52141828,ATV670457,20,30,|XXL|0005190-04|23|03|LM5AM9S,6,175,185,LULUEMON_ATHLETICA,CG1,DG1,0,0,0,1
ATO-52141651,ATV670457,20,30,|2|0057879-01|24|03|LW2DZVS,1,100,110,LULUEMON_ATHLETICA,CG1,DG1,0,0,0,1
ATO-52141651,ATV670457,20,30,|4|0057879-01|24|03|LW2DZVS,2,100,110,LULUEMON_ATHLETICA,CG1,DG1,0,0,0,1
ATO-52141651,ATV670457,20,30,|6|0057879-01|24|03|LW2DZVS,3,100,110,LULUEMON_ATHLETICA,CG1,DG1,0,0,0,1
ATO-52141651,ATV670457,20,30,|8|0057879-01|24|03|LW2DZVS,4,1000,1010,LULUEMON_ATHLETICA,CG1,DG1,0,0,0,1
ATO-52141651,ATV670457,20,30,|10|0057879-01|24|03|LW2DZVS,5,100,110,LULUEMON_ATHLETICA,CG1,DG1,0,0,0,1
ATO-52141651,ATV670457,20,30,|12|0057879-01|24|03|LW2DZVS,6,100,110,LULUEMON_ATHLETICA,CG1,DG1,0,0,0,1
ATO-52141651,ATV670457,20,30,|14|0057879-01|24|03|LW2DZVS,7,100,110,LULUEMON_ATHLETICA,CG1,DG1,0,0,0,1
